Id,Designator,Quantity,Supplier and ref,Value,Package
1,R10,1,ERJ1TRQF2R7U,2.7ohm,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder
2,"R5,R3,R1,R2,R7,R8",6,ERJ6GEYJ102V,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
3,"R6,R4,R9",3,ERJ6GEY J103V,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
4,"C1,C2",2,CL21B106KPQNNNE,10 uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
5,C3,1,CL21B104KCFNNNE,100 nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
6,D5,1,L-204SRD,LED RED,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm
7,D6,1,L-204GD,LED GREEN,LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O1.27mm_Z1.6mm
8,"D2,D1",2,204-10SURD/S530-A3-L,LED,LED_D3.0mm_FlatTop
9,"D4,D3",2,1N4004,1N4004,D_SMA
10,"Q2,Q1",2,2N7002E,2N7002E,SOT-23
11,U1,1,ESP32-WROOM-32U,ESP32-DevKitC V4,MODULE_ESP32-DEVKITC-32U
12,U2,1,LMP8640MK-F/NOPB,LMP8640,SOT-23-6
13,"K2,K1",2,G5V-1-DC5,G5V-1,Relay_SPDT_Omron_G5V-1
14,"J2,J1",2,C319202,Conn_01x19_Female,PinSocket_1x19_P2.54mm_Vertical
15,"J4,J3,J5,J6",4,KF2EDGRC-5.0-2P,KF2EDGRC-5.0-2P,TerminalBlock__1x02_P5.00mm_90Degree
16,"J4,J3,J5,J6",4,KF2EDGK-5.0-2P,KF2EDGK-5.0-2P,TerminalBlock__1x02_P5.00mm_90Degree Female
17,SW1,1,PTS645VH582LFS,SW_DIP_x01,SW_Tactile_SPST_Angled_PTS645Vx58-2LFS
18,M1,1,,DC-DC_Buck_Step_Module-dc-dc_module,DC-DC_Buck_Step_Module
19,,1,,"Antena WiFi de 2,4 GHz y 3dBi, ","Antena WiFi de 2,4 GHz y 3dBi, "
